Date,Open,High,Low,Close,Volume
2021-01-21,237.05,239.88,236.02,237.46,592685.0
2021-01-22,238.0,241.95,235.6,236.16,1241639.0
2021-01-25,236.0,239.5,235.9,238.05,789116.0
2021-01-26,238.0,244.5,238.0,243.36,2470402.0
2021-01-27,246.11,248.19,243.5,244.3,2987294.0
2021-01-28,243.9,244.0,239.0,239.89,1260114.0
2021-01-29,240.0,245.2,238.2,242.99,1845925.0
2021-02-01,246.0,246.1,238.21,240.23,1107290.0
2021-02-02,241.0,258.24,239.2,253.73,8596568.0
2021-02-03,256.0,258.75,248.6,253.17,3344002.0
2021-02-04,255.5,257.5,249.5,252.81,3836066.0
2021-02-08,255.0,257.0,249.19,253.42,3929329.0
2021-02-09,256.0,260.99,255.0,257.46,3822854.0
2021-02-10,259.0,262.0,257.5,259.32,2525152.0
2021-02-11,259.1,261.0,249.0,250.88,2088939.0
2021-02-12,250.05,254.5,247.5,248.96,994354.0
2021-02-15,251.0,254.8,249.8,251.96,1215684.0
2021-02-16,250.89,257.45,250.89,252.56,2518279.0
2021-02-17,258.0,261.5,255.11,257.4,3058074.0
2021-02-18,254.01,254.01,245.19,246.75,2508964.0
2021-02-19,247.98,250.0,243.19,245.2,604327.0
2021-02-22,245.01,247.0,242.0,242.42,864719.0
2021-02-23,244.0,244.17,239.0,239.58,545453.0
2021-02-24,239.49,239.59,233.0,234.63,808383.0
2021-02-25,237.1,239.0,236.75,238.13,362331.0
2021-02-26,238.1,239.9,233.6,236.63,1472174.0
2021-03-01,237.0,238.0,229.0,233.98,598982.0
2021-03-02,235.0,244.25,235.0,240.39,1949369.0
2021-03-03,242.98,244.5,240.01,241.7,444040.0
2021-03-04,234.0,240.54,233.71,236.15,777305.0
2021-03-05,237.0,242.0,235.02,238.83,524016.0
2021-03-08,243.95,244.56,232.7,234.24,959937.0
2021-03-09,235.47,236.0,224.85,226.31,590807.0
2021-03-10,227.45,228.57,221.0,221.84,566874.0
2021-03-11,220.25,224.47,215.0,217.47,1378091.0
2021-03-12,215.0,223.75,212.47,221.28,812843.0
2021-03-15,225.05,236.49,223.11,235.69,944838.0
2021-03-16,236.0,236.0,230.2,232.23,482204.0
2021-03-17,234.5,237.29,232.3,233.97,599715.0
2021-03-18,233.96,234.59,225.0,226.94,434065.0
2021-03-19,227.0,234.2,225.0,233.5,609876.0
2021-03-22,234.5,244.73,230.0,242.32,2092507.0
2021-03-24,239.51,247.13,237.2,242.9,899233.0
2021-03-25,244.1,245.98,239.32,241.52,572057.0
2021-03-26,240.99,240.99,236.0,236.71,427778.0
